claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R1-361,null_perms_reaching_kge7,0/5,null runs with deep patterns,deterministic,quotes-paper,F2,38,"""corrects the absence bound to p < 0.45 (rule of three, 0/5)"""
R1-362,null_permutations,5 (five),permutations,method-parameter,disputes,F2,38,"""five permutations is too few to support the inferential language still used around them"""
R1-363,null_p_bound_kge7,<0.45,p,deterministic,disputes,F2,41,"""A p < 0.45 bound does not reject the null at any conventional level"""
R1-364,null_kmax,>=7,K,deterministic,quotes-paper,F2,41,"""'K>=7 patterns are absent from all 5 null runs'"""
R1-365,null_permutations,5,null runs,method-parameter,quotes-paper,F2,41,"""'K>=7 patterns are absent from all 5 null runs'"""
R1-366,null_k6_z,"+71,728",effect size (Z at K=6),deterministic,quotes-paper,F2,42,"""Reporting a '+71,728' effect size from 5 permutations invites the objection"""
R1-367,null_permutations,5,permutations,method-parameter,quotes-paper,F2,42,"""Reporting a '+71,728' effect size from 5 permutations"""
R1-368,null_permutations,n = 5,permutations (sigma estimate),method-parameter,disputes,F2,42,"""sigma estimated from n = 5 is itself extremely noisy"""
R1-369,null_k6_z,6,K (value not reproducing from rounded mu/sigma),deterministic,disputes,F2,42,"""the K = 6 value does not reproduce cleanly from the rounded mu/sigma shown"""
R1-370,null_z_headline_k_range,4-6,K range (raw null counts requested),deterministic,requests,F2,42,"""reporting the raw null counts per permutation for K = 4-6"""
R1-371,null_perms_for_p001,100+,permutations needed,method-parameter,quotes-paper,F2,43,"""'100+ permutations would be needed to establish p < 0.01 bounds.'"""
R1-372,null_p_target,<0.01,p (target bound),method-parameter,quotes-paper,F2,43,"""'100+ permutations would be needed to establish p < 0.01 bounds.'"""
R1-373,null_per_perm_time_s,~130,s per permutation,hardware-dependent,quotes-paper,F2,43,"""Since each permutation is ~130 s, 100 permutations is ~3.6 GPU-hours"""
R1-374,null_perms_for_p001,100,permutations,method-parameter,asserts-own,F2,43,"""100 permutations is ~3.6 GPU-hours - entirely feasible on the same single H100"""
R1-375,cost_null_100perm_1k_hours,~3.6,GPU-hours,hardware-dependent,asserts-own,F2,43,"""100 permutations is ~3.6 GPU-hours - entirely feasible on the same single H100"""
R1-376,hw_gpu_model,1 (single),H100,hardware-dependent,quotes-paper,F2,43,"""entirely feasible on the same single H100"""
R1-377,run_opus_kmax,22,"K (heading, flagship result)",deterministic,quotes-paper,F2,45,"""Major 3 - The flagship K = 22 biological result is under-supported and not fully reproducible"""
R1-378,run_opus_kmax,22,K (flagship pattern),deterministic,quotes-paper,F2,46,"""The K = 22 'neuronal antiviral RNA-helicase' pattern is given prominence"""
R1-379,kdist_opus_k22_count,1 (single),itemset,deterministic,quotes-paper,F2,46,"""As currently supported it is a single itemset shared by 8 proteins"""
R1-380,k22_support,8,proteins,deterministic,quotes-paper,F2,46,"""As currently supported it is a single itemset shared by 8 proteins"""
R1-381,k22_go_parent_child_pairs,0,GO parent-child pairs,deterministic,quotes-paper,F2,46,"""the GO true-path check (0 parent-child pairs; one InterPro2GO-derived link, giving 21 independent features)"""
R1-382,k22_definitional_links,1 (one),InterPro2GO-derived link,deterministic,quotes-paper,F2,46,"""(0 parent-child pairs; one InterPro2GO-derived link, giving 21 independent features)"""
R1-383,k22_independent_features,21,independent features,deterministic,quotes-paper,F2,46,"""(0 parent-child pairs; one InterPro2GO-derived link, giving 21 independent features)"""
R1-384,k22_support,8,UniProt accessions (not listed),deterministic,requests,F2,47,"""The 8 UniProt accessions are not listed."""
R1-385,k22_support,8 (eight),identifiers (supplementary table),deterministic,requests,F2,47,"""a reviewer will expect the eight identifiers in a supplementary table"""
R1-386,k22_support,n = 8,proteins,deterministic,quotes-paper,F2,48,"""With n = 8 proteins, a single densely (electronically) annotated protein family can generate the entire signature"""
R1-387,k22_n_families,1 (single),protein family (could generate signature),deterministic,asserts-own,F2,48,"""a single densely (electronically) annotated protein family can generate the entire signature"""
R1-388,k22_support,8,accessions (supplementary table),deterministic,requests,F2,50,"""add a supplementary table of the 8 accessions with per-term evidence codes"""
R1-389,run_opus_kmax,22,K (pattern to demote),deterministic,quotes-paper,F2,50,"""demote the K = 22 pattern from 'highlighted discovery' to 'illustrative maximum-depth example'"""
R1-390,run_opus_vs_gminer_transaction_ratio,5.1x,more transactions than prior systems,deterministic,disputes,F2,53,"""the '5.1x more transactions' and 'deeper than any previously reported GPU FIM result' claims are therefore about scale reached"""
R1-391,son_speedup,21x,speedup (Direct-GPU vs SON),hardware-dependent,quotes-paper,F2,53,"""Direct-GPU vs SON at identical support (21x, 95.2% miss rate) - is excellent"""
R1-392,son_miss_rate_pct,95.2%,SON miss rate,deterministic,quotes-paper,F2,53,"""Direct-GPU vs SON at identical support (21x, 95.2% miss rate)"""
R1-393,dataset_multi_feature,76.9M,transactions,deterministic,asserts-own,F2,53,"""Prior tools plausibly cannot ingest 76.9M transactions"""
R1-394,misc_f2_subset_slice_transactions,1-15M,transaction slice (suggested subset comparison),method-parameter,requests,F2,53,"""even a subset comparison (e.g., ET-miner vs GMiner on a 1-15M-transaction slice) would substantiate the efficiency claim"""
R1-395,run_opus_itemsets,26.8 million,patterns (headline),deterministic,disputes,F2,56,"""The headline '26.8 million patterns' is the complete frequent-itemset space, which by construction is dominated by subset/superset redundancy"""
R1-396,alg_subitemsets_per_k_itemset,2^K - 2,frequent sub-itemsets per frequent K-itemset,deterministic,asserts-own,F2,56,"""(every frequent K-itemset implies 2^K - 2 frequent sub-itemsets)"""
R1-397,run_opus_time_min,7.3,minutes (mining only),hardware-dependent,quotes-paper,F2,62,"""the '7.3 minutes (mining only)' qualifier is good"""
R1-398,meta_review_f2_memory_quantities_count,3 (three),distinct memory quantities coexisting,external-fact,asserts-own,F2,63,"""Three legitimate but different quantities coexist - ~206 GB ... ~26 GB ... ~5.1 GB ... ~10 GB"" (four listed)"
R1-399,dense_gb,~206,GB (naive 1-byte dense),deterministic,quotes-paper,F2,63,"""~206 GB (naive 1-byte dense)"""
R1-400,alg_dense_bytes_per_bool,1,byte per entry (naive dense),method-parameter,quotes-paper,F2,63,"""~206 GB (naive 1-byte dense)"""
R1-401,bitvec_gb,~26,"GB (bit-packed dense / on-GPU bitvector, 214M set)",deterministic,quotes-paper,F2,63,"""~26 GB (bit-packed dense / on-GPU bitvector, 214M set)"""
R1-402,dataset_metadata_rows,214M,set (proteins),deterministic,quotes-paper,F2,63,"""~26 GB (bit-packed dense / on-GPU bitvector, 214M set)"""
R1-403,csr_bytes_gb,~5.1,GB (CSR-COO),deterministic,quotes-paper,F2,63,"""~5.1 GB (CSR-COO)"""
R1-404,bitvec_subset_gb,~10,GB (bit-packed dense of the 76.9M subset),deterministic,quotes-paper,F2,63,"""~10 GB (bit-packed dense of the 76.9M subset)"""
R1-405,dataset_multi_feature,76.9M,subset (proteins),deterministic,quotes-paper,F2,63,"""~10 GB (bit-packed dense of the 76.9M subset)"""
R1-406,vocab_plddt_frequent,2 of 6,pLDDT bins passing support threshold,deterministic,quotes-paper,F2,64,"""Only 2 of 6 pLDDT bins pass the support threshold"""
R1-407,vocab_plddt_bin_medium_edges,70-90,pLDDT range (medium confidence bin),method-parameter,quotes-paper,F2,64,"""the recurring one is 'medium confidence (70-90).'"""
R1-408,pattern_k13_support,"~11,000",proteins (intermediate-K count),deterministic,quotes-paper,F2,65,"""Intermediate-K protein counts ('~11,000', '~10,500', '~16,000') are approximate where the artefacts support near-exact values"""
R1-409,pattern_k12_support,"~10,500",proteins (intermediate-K count),deterministic,quotes-paper,F2,65,"""Intermediate-K protein counts ('~11,000', '~10,500', '~16,000') are approximate"""
R1-410,pattern_k11_support,"~16,000",proteins (intermediate-K count),deterministic,quotes-paper,F2,65,"""Intermediate-K protein counts ('~11,000', '~10,500', '~16,000') are approximate"""
R1-411,hw_gpu_model,1 (single),H100 (all experiments),hardware-dependent,quotes-paper,F2,66,"""Now honestly framed as a capability ('all experiments used a single H100')"""
R1-412,k22_go_parent_child_pairs,0,GO parent-child pairs (K=22 set),deterministic,quotes-paper,F2,68,"""The added quantification (0 parent-child pairs in the K = 22 set) is excellent"""
R1-413,run_opus_kmax,22,K,deterministic,quotes-paper,F2,68,"""(0 parent-child pairs in the K = 22 set)"""
R1-414,run_opus_kmax,22,K (accessions not deposited),deterministic,quotes-paper,F2,69,"""some source artefacts (full transaction parquet, K = 22 accessions) are not currently deposited"""
R1-415,null_p_bound_kge7,<0.45,p (correction present),deterministic,quotes-paper,F2,75,"""t-statistic footnote and p < 0.45 correction now present and correct"""
R1-416,run_opus_kmax,22,K (Table 5 reference),deterministic,quotes-paper,F2,76,"""s3.5 + Table 5 (K = 22): interpretation softened correctly; see Major 3 for accessions + evidence codes."""
R1-417,run_power_min_count,768,min_count (Power),method-parameter,quotes-paper,F2,77,"""min_count values (Power = 768, Ultra = 16) reconcile with the mining logs"""
R1-418,run_ultra_min_count,16,min_count (Ultra),method-parameter,quotes-paper,F2,77,"""min_count values (Power = 768, Ultra = 16) reconcile with the mining logs"""
R1-419,ext_gminer_transactions,15M,transactions (GMiner synthetic),external-fact,quotes-paper,F2,78,"""the GMiner '15M synthetic / 1.7M real' labelling, which is now correct"""
R1-420,ext_gminer_transactions_real,1.7M,transactions (GMiner real),external-fact,quotes-paper,F2,78,"""the GMiner '15M synthetic / 1.7M real' labelling, which is now correct"""
R1-421,run_opus_itemsets,"26,849,505",K-distribution column sum,deterministic,asserts-own,F2,79,"""column sums to 26,849,505 exactly; matches the godmode log"""
R1-422,run_opus_min_count,8,"min_count (Opus, requested null)",method-parameter,requests,F2,85,"""Can the permutation null model be run at the Opus threshold (min_count = 8), even at n = 5"""
R1-423,null_permutations,n = 5,permutations (requested),method-parameter,requests,F2,85,"""even at n = 5, to test whether deep (K >= 7) patterns exceed a count-preserving null"""
R1-424,null_kmax,>=7,K (deep),method-parameter,requests,F2,85,"""to test whether deep (K >= 7) patterns exceed a count-preserving null there"""
R1-425,null_support_pct,0.001%,threshold (null model),method-parameter,quotes-paper,F2,85,"""why is the count-preserving null at 0.001% argued to generalise to 0.00001%?"""
R1-426,run_opus_support_pct,0.00001%,threshold (headline),method-parameter,quotes-paper,F2,85,"""why is the count-preserving null at 0.001% argued to generalise to 0.00001%?"""
R1-427,null_per_perm_time_s,~130,s per permutation,hardware-dependent,quotes-paper,F2,86,"""Each permutation is ~130 s."""
R1-428,null_perms_for_p001,100,permutations (requested),method-parameter,requests,F2,86,"""Is there an obstacle to running the 100 permutations the manuscript itself identifies as necessary for p < 0.01?"""
R1-429,null_p_target,<0.01,p,method-parameter,quotes-paper,F2,86,"""the 100 permutations the manuscript itself identifies as necessary for p < 0.01"""
R1-430,k22_support,8,K=22 UniProt accessions (requested),deterministic,requests,F2,87,"""Can the 8 K = 22 UniProt accessions and their per-GO-term evidence codes be provided"""
R1-431,run_opus_kmax,22,K,deterministic,quotes-paper,F2,87,"""Can the 8 K = 22 UniProt accessions and their per-GO-term evidence codes be provided"""
R1-432,run_opus_itemsets,26.8M,total itemsets,deterministic,quotes-paper,F2,88,"""What are the closed and maximal frequent-itemset counts corresponding to the 26.8M total?"""
R1-433,kdist_opus_peak_k,9,K (distribution peak),deterministic,quotes-paper,F2,90,"""The K = 9 distribution peak: how sensitive is its position to the support threshold"""
R1-434,alg_transaction_min_features,>=2,features (multi-feature inclusion criterion),method-parameter,quotes-paper,F2,90,"""the multi-feature-protein inclusion criterion (>= 2 features)"""
R1-435,null_permutations,n = 5,permutations,method-parameter,disputes,F2,96,"""n = 5 cannot support the inferential weight placed on it (Major 2)"""
R1-436,k22_support,8,proteins (anecdote),deterministic,quotes-paper,F2,96,"""the single most-highlighted pattern is an 8-protein anecdote without listed accessions"""
R1-437,cost_f2_majors_fix_gpu_hours,<=4,GPU-hours (to fix Majors 1-2),hardware-dependent,asserts-own,F2,96,"""Two of these are fixable with <= 4 GPU-hours on the machine already used (100 permutations; an Opus-threshold null)"""
R1-438,null_perms_for_p001,100,permutations,method-parameter,requests,F2,96,"""fixable with <= 4 GPU-hours on the machine already used (100 permutations; an Opus-threshold null)"""
R1-439,dataset_metadata_rows,hundreds of millions,proteins,deterministic,quotes-paper,F2,105,"""'Which combinations of protein features co-occur more than expected across hundreds of millions of proteins?'"""
R1-440,run_opus_kmax,22,K,deterministic,quotes-paper,F2,106,"""Exhaustive FIM to K=22 on 76.9M proteins in 7.3 min; unimodal K-peak at 9; null-model enrichment for K>=4 at 0.001%"""
R1-441,dataset_multi_feature,76.9M,proteins,deterministic,quotes-paper,F2,106,"""Exhaustive FIM to K=22 on 76.9M proteins in 7.3 min"""
R1-442,run_opus_time_min,7.3,min,hardware-dependent,quotes-paper,F2,106,"""Exhaustive FIM to K=22 on 76.9M proteins in 7.3 min"""
R1-443,kdist_opus_peak_k,9,K (peak),deterministic,quotes-paper,F2,106,"""unimodal K-peak at 9"""
R1-444,null_enriched_from_k,>=4,K (null-model enrichment),deterministic,quotes-paper,F2,106,"""null-model enrichment for K>=4 at 0.001%"""
R1-445,null_support_pct,0.001%,threshold,method-parameter,quotes-paper,F2,106,"""null-model enrichment for K>=4 at 0.001%"""
R1-446,run_opus_kmax,22,K (accessions not deposited),deterministic,quotes-paper,F2,114,"""but source transaction data + K=22 accessions not deposited; Major 3, Minor 8"""
R1-447,null_permutations,n=5,"permutations (null model, checklist)",method-parameter,quotes-paper,F2,114,"""Statistics (null-model n=5; Major 2)"""
R1-448,null_permutations,n=5,permutations (no power analysis),method-parameter,quotes-paper,F2,115,"""sample size / power (no power analysis; n=5 permutations)"""
R1-449,null_seed,42,seed (Fisher-Yates shuffle),method-parameter,quotes-paper,F2,115,"""randomization (Fisher-Yates shuffle, seed 42)"""
R1-450,alg_transaction_min_features,>=2,features (inclusion),method-parameter,quotes-paper,F2,115,"""inclusion/exclusion (>=2 features, min_count thresholds)"""
R1-451,dataset_uniprot_release,2025_01,UniProt release,external-fact,quotes-paper,F2,115,"""data-collection protocol (UniProt release 2025_01)"""
R1-452,sw_python,3.10,Python version,software,quotes-paper,F2,115,"""software versions (Python 3.10/CuPy 13.0/NumPy 1.26/CUDA 12.4/Ubuntu 22.04, H100 80GB SXM5)"""
R1-453,sw_cupy,13.0,CuPy version,software,quotes-paper,F2,115,"""software versions (Python 3.10/CuPy 13.0/NumPy 1.26/CUDA 12.4/Ubuntu 22.04, H100 80GB SXM5)"""
R1-454,sw_numpy,1.26,NumPy version,software,quotes-paper,F2,115,"""software versions (Python 3.10/CuPy 13.0/NumPy 1.26/CUDA 12.4/Ubuntu 22.04, H100 80GB SXM5)"""
R1-455,sw_cuda,12.4,CUDA version,software,quotes-paper,F2,115,"""software versions (Python 3.10/CuPy 13.0/NumPy 1.26/CUDA 12.4/Ubuntu 22.04, H100 80GB SXM5)"""
R1-456,sw_os,22.04,Ubuntu version,software,quotes-paper,F2,115,"""software versions (Python 3.10/CuPy 13.0/NumPy 1.26/CUDA 12.4/Ubuntu 22.04, H100 80GB SXM5)"""
R1-457,hw_gpu_vram_gb,80,GB VRAM (H100 SXM5),hardware-dependent,quotes-paper,F2,115,"""H100 80GB SXM5"""
R1-458,run_opus_itemsets,millions,itemsets tested without FDR,deterministic,asserts-own,F2,115,"""multiple-comparison correction (millions of itemsets tested; no FDR - acknowledged as Limitation 1 but not applied)"""
R1-459,meta_review_f2_figures_on_disk,4,figures present on disk,external-fact,asserts-own,F2,116,"""Figures/Tables (4 figures present on disk; tables well-formed)"""
R1-460,run_opus_kmax,22,K (interpretation still prominent),deterministic,quotes-paper,F2,116,"""Objectivity (K=22 interpretation softened but still prominent; Major 3)"""
R1-461,pattern_n_highlighted,5,highlighted patterns,deterministic,quotes-paper,F2,117,"""selective reporting (5 highlighted patterns chosen for known validation - disclosed, acceptable)"""
R1-462,null_permutations,n=5,permutations ('Z' inappropriate),method-parameter,quotes-paper,F2,117,"""inappropriate tests (n=5 'Z')"""
R1-463,meta_review_f2_paper_limitations,5,explicit limitations,external-fact,quotes-paper,F2,118,"""Limitations (5 explicit limitations, now including 0-parent-child note)"""
R1-464,k22_go_parent_child_pairs,0,parent-child pairs,deterministic,quotes-paper,F2,118,"""(5 explicit limitations, now including 0-parent-child note)"""
R1-465,run_opus_kmax,22,K (interpretation exception),deterministic,quotes-paper,F2,118,"""Interpretation (mostly data-supported; K=22 the exception)"""
R1-466,run_opus_itemsets,26.8M,'patterns' (redundant space),deterministic,disputes,F2,119,"""overstated conclusions (26.8M 'patterns' counts redundant space; Major 5)"""
R1-467,meta_review_f2_reference_currency_year,2024,reference currency (through year),external-fact,asserts-own,F2,120,"""Currency (through 2024)"""
R1-468,meta_review_f2_citation_errors_corrected,13,citation errors corrected this revision,external-fact,asserts-own,F2,120,"""Accuracy (13 citation errors corrected this revision; independently re-verified)"""
R1-469,meta_review_f2_uncited_bibitems,1 (one),uncited bibitem,external-fact,asserts-own,F2,120,"""one uncited bibitem (miettinen2020; Minor 6)"""
R1-470,null_permutations,n=5,permutations (normality assumption),method-parameter,quotes-paper,F2,123,"""'Z'-framing assumes normality of null counts from n=5; not tested"""
R1-471,null_permutations,n=5,permutations (no power analysis),method-parameter,quotes-paper,F2,124,"""Sample-size/power justification (n=5, no power analysis; Major 2)"""
R1-472,null_permutations,5,permutations (replication),method-parameter,quotes-paper,F2,125,"""replication (5 permutations)"""
R1-473,k22_support,8,K=22 accessions not listed,deterministic,quotes-paper,F2,129,"""the 8 K=22 accessions not listed - Major 3"""
R1-474,run_opus_kmax,22,K,deterministic,quotes-paper,F2,129,"""the 8 K=22 accessions not listed - Major 3"""
R1-475,null_permutations,5,permutation spread (could be shown),method-parameter,requests,F2,135,"""the K-distribution/null comparison could show the 5-permutation spread"""
R1-476,meta_review_f2_orphaned_figures,2 (two),orphaned figure files on disk,external-fact,asserts-own,F2,138,"""two orphaned figure files (figures/kdist_shift.pdf, figures/pruning_savings.pdf) remain on disk from the removed expanded run"""
R1-477,sw_claude_opus_version,4.6,Claude Code Opus version (listed co-author),software,quotes-paper,F2,143,"""(C. claudya = 'Anthropic, Claude Code Opus 4.6' as a listed author)"""
R1-478,meta_review_f2_ai_vendor_authors,1 (one),author affiliated with AI vendor,external-fact,asserts-own,F2,143,"""one author is affiliated with the AI vendor whose tool co-produced the work - disclosure expected"""
R1-479,ext_zenodo_version,v1,Zenodo preprint version,software,asserts-own,F2,143,"""a Zenodo v1 exists - the relationship to v1 should be disclosed as a versioned preprint update"""
R1-480,meta_review_f2_majors,5,major concerns,external-fact,asserts-own,F2,151,"""Major concerns identified & justified (5)"""
R1-481,meta_review_f2_minors,8,minor issues,external-fact,asserts-own,F2,151,"""Minor issues categorized (8)"""
R1-482,meta_review_f2_missing_statements,3,"missing statements (COI, funding, subjects)",external-fact,asserts-own,F2,151,"""Ethics verified (Stage 6 - surfaced 3 missing statements: COI, funding, subjects)"""
R1-483,sw_claude_opus_version,4.6,Claude Code Opus version (AI co-author),software,quotes-paper,F2,156,"""AI-tool listed as a co-author ('Claude Code Opus 4.6')"""
R1-484,run_opus_itemsets,millions,itemsets (no multiple-testing correction),deterministic,asserts-own,F2,158,"""No multiple-testing correction applied to the millions of itemsets"""
R1-485,meta_review_f2_orphaned_figures,2 (two),orphaned figure PDFs,external-fact,asserts-own,F2,159,"""Two orphaned figure PDFs (kdist_shift.pdf, pruning_savings.pdf) from the removed expanded run remain in figures/"""
R1-486,ext_zenodo_version,v1,Zenodo version (relationship to disclose),software,asserts-own,F2,160,"""Relationship to the published Zenodo v1 should be disclosed as a versioned-preprint update"""
R1-487,ext_zenodo_version,v1,Zenodo version (disclosed post-review),software,asserts-own,F2,171,"""discloses the Zenodo-v1 versioned-preprint relationship"""
R1-488,meta_review_f2_uncited_bibitems,0 (zero),uncited bibitems remaining,external-fact,asserts-own,F2,173,"""miettinen2020 - now cited (Boolean-matrix representation, s1); zero uncited bibitems remain"""
R1-489,null_perms_for_p001,100,permutations (still open),method-parameter,requests,F2,179,"""Major 2 (100 permutations)"""
R1-490,run_opus_kmax,22,K (accessions + evidence codes still open),deterministic,requests,F2,179,"""Major 3 (K=22 accessions + evidence codes)"""
R1-491,run_v35k_itemsets,606K,itemsets (35K expansion),deterministic,asserts-own,F3,9,"""v2 (2026-02-21): Updated with 35K-feature expansion (606K itemsets, K_max=17, null model, SON infeasibility)"""
R1-492,run_v35k_kmax,17,K_max (35K expansion),deterministic,asserts-own,F3,9,"""35K-feature expansion (606K itemsets, K_max=17, null model, SON infeasibility)"""
R1-493,vocab_items_frequent,"1,002",features (original vocabulary),deterministic,quotes-paper,F3,15,"""The authors have expanded from 1,002 features to 34,920 features (35x vocabulary expansion)"""
R1-494,vocab_v35k_items,"34,920",features (expanded vocabulary),deterministic,asserts-own,F3,15,"""expanded from 1,002 features to 34,920 features (35x vocabulary expansion)"""
R1-495,vocab_v35k_expansion_ratio,35x,vocabulary expansion factor,deterministic,asserts-own,F3,15,"""expanded from 1,002 features to 34,920 features (35x vocabulary expansion)"""
R1-496,meta_review_f3_new_result_files,3 (three),new result files,external-fact,asserts-own,F3,15,"""and produced three new result files:"""
R1-497,run_v35k_n_runs,3 (triplicate),Direct GPU runs,method-parameter,asserts-own,F3,17,"""Direct GPU triplicate (experiment_direct_vs_son_35k_20260221.json)"""
R1-498,run_v35k_itemsets,"606,292",mean itemsets (triplicate),deterministic,asserts-own,F3,17,"""606,292 mean itemsets (std=28), K_max=17, 654s mean on 4xH200"""
R1-499,run_v35k_itemsets_std,28,std itemsets (triplicate),deterministic,asserts-own,F3,17,"""606,292 mean itemsets (std=28), K_max=17, 654s mean on 4xH200"""
R1-500,run_v35k_kmax,17,K_max,deterministic,asserts-own,F3,17,"""606,292 mean itemsets (std=28), K_max=17, 654s mean on 4xH200"""
R1-501,run_v35k_time_s,654,s mean runtime,hardware-dependent,asserts-own,F3,17,"""606,292 mean itemsets (std=28), K_max=17, 654s mean on 4xH200"""
R1-502,run_v35k_n_gpus,4xH200,GPUs,hardware-dependent,asserts-own,F3,17,"""654s mean on 4xH200. SON is INFEASIBLE (175 GB bitvec > 143 GB VRAM)"""
R1-503,mem_v35k_son_bitvec_gb,175,GB (SON bitvector),deterministic,asserts-own,F3,17,"""SON is INFEASIBLE (175 GB bitvec > 143 GB VRAM)"""
R1-504,hw_h200_vram_gb,143,GB VRAM (H200),hardware-dependent,asserts-own,F3,17,"""SON is INFEASIBLE (175 GB bitvec > 143 GB VRAM)"""
R1-505,run_v35k_null_permutations,2,permutations (35K null model),method-parameter,asserts-own,F3,18,"""Null model (experiment_null_model_20260221_003203.json): 2 permutations"""
R1-506,run_v35k_null_peak_k,2,K (null peak),deterministic,asserts-own,F3,18,"""Null peaks at K=2 (59K itemsets), collapses by K=5 (1 itemset)"""
R1-507,null_v35k2perm_k2_mean,59K,null itemsets at K=2,deterministic,asserts-own,F3,18,"""Null peaks at K=2 (59K itemsets), collapses by K=5 (1 itemset)"""
R1-508,run_v35k_null_kmax,5,K (null collapse),deterministic,asserts-own,F3,18,"""Null peaks at K=2 (59K itemsets), collapses by K=5 (1 itemset)"""
R1-509,null_v35k2perm_k5_mean,1,null itemsets at K=5,deterministic,asserts-own,F3,18,"""collapses by K=5 (1 itemset)"""
R1-510,run_v35k_kmax,17,"K (biological max, 35K)",deterministic,asserts-own,F3,18,"""Biological data extends to K=17."""
R1-511,null_v35k2perm_total_enrichment_ratio,5.45x,total enrichment ratio,deterministic,asserts-own,F3,18,"""5.45x total enrichment ratio. Z=723 at K=3, Z=20,585 at K=4."""
R1-512,null_v35k2perm_k3_z,723,Z at K=3 (35K),deterministic,asserts-own,F3,18,"""Z=723 at K=3, Z=20,585 at K=4."""
R1-513,null_v35k2perm_k4_z,"20,585",Z at K=4 (35K),deterministic,asserts-own,F3,18,"""Z=723 at K=3, Z=20,585 at K=4."""
R1-514,run_v35k_wave3_support_pct,0.1%,support (wave 3),method-parameter,asserts-own,F3,19,"""Mining at 0.1% support reaches K=10+ with millions of itemsets per level"""
R1-515,run_v35k_wave3_kmax,10+,K reached (wave 3),deterministic,asserts-own,F3,19,"""Mining at 0.1% support reaches K=10+ with millions of itemsets per level"""
R1-516,run_v35k_wave3_itemsets_per_level,millions,itemsets per level (wave 3),deterministic,asserts-own,F3,19,"""reaches K=10+ with millions of itemsets per level"""
R1-517,run_v35k_wave3_k9_cum_time_s,743,s elapsed at K=9 (wave 3),hardware-dependent,asserts-own,F3,19,"""still running after 743s at K=9 (10M itemsets at that level alone)"""
R1-518,run_v35k_wave3_last_complete_k,9,K (wave 3 progress),deterministic,asserts-own,F3,19,"""still running after 743s at K=9 (10M itemsets at that level alone)"""
R1-519,kdist_v35k_wave3_k9_count,10M,itemsets at K=9 (wave 3),deterministic,asserts-own,F3,19,"""still running after 743s at K=9 (10M itemsets at that level alone)"""
R1-520,meta_review_f3_severity_major1,9/10,severity (M1),external-fact,asserts-own,F3,27,"""M1. Two permutations is worse than five -- the null model has regressed [Severity: 9/10]"""
R1-521,null_permutations,5,permutations (1K null model),method-parameter,quotes-paper,F3,29,"""The original 1K-feature null model used 5 permutations."""
R1-522,run_v35k_null_permutations,2,permutations (35K null model),method-parameter,asserts-own,F3,29,"""The 35K-feature null model uses only 2 permutations"""
R1-523,run_v35k_null_seed_1,7138484576005690180,seed (permutation 1),method-parameter,asserts-own,F3,29,"""(seeds 7138484576005690180 and 4047939128787533792, experiment_null_model_20260221_003203.json line 8)"""
R1-524,run_v35k_null_seed_2,4047939128787533792,seed (permutation 2),method-parameter,asserts-own,F3,29,"""(seeds 7138484576005690180 and 4047939128787533792, experiment_null_model_20260221_003203.json line 8)"""
R1-525,run_v35k_null_permutations,n=2,data points (null),method-parameter,disputes,F3,33,"""Variance from n=2 is meaningless. With 2 data points, you have exactly 1 degree of freedom."""
R1-526,run_v35k_null_t_df,1,degree of freedom,deterministic,asserts-own,F3,33,"""With 2 data points, you have exactly 1 degree of freedom."""
R1-527,null_v35k2perm_k2_std,123.7,std of null at K=2,deterministic,asserts-own,F3,33,"""The reported standard deviations (e.g., K=2: std=123.7; K=3: std=51.6; K=4: std=2.8)"""
R1-528,null_v35k2perm_k3_std,51.6,std of null at K=3,deterministic,asserts-own,F3,33,"""(e.g., K=2: std=123.7; K=3: std=51.6; K=4: std=2.8)"""
R1-529,null_v35k2perm_k4_std,2.8,std of null at K=4,deterministic,asserts-own,F3,33,"""(e.g., K=2: std=123.7; K=3: std=51.6; K=4: std=2.8)"""
R1-530,null_v35k2perm_k3_z,722.91,Z at K=3 (35K),deterministic,disputes,F3,33,"""The 'Z-score' at K=3 of 722.91 is computed as (53235 - 15919.5) / 51.6"""
R1-531,null_v35k2perm_k3_bio,53235,biological itemsets at K=3 (35K),deterministic,asserts-own,F3,33,"""computed as (53235 - 15919.5) / 51.6 -- but the denominator is estimated from 2 observations"""
R1-532,null_v35k2perm_k3_mean,15919.5,null mean itemsets at K=3 (35K),deterministic,asserts-own,F3,33,"""computed as (53235 - 15919.5) / 51.6"""
R1-533,null_v35k2perm_k3_std,51.6,null std at K=3 (denominator),deterministic,asserts-own,F3,33,"""computed as (53235 - 15919.5) / 51.6"""
R1-534,run_v35k_null_permutations,2,observations,method-parameter,asserts-own,F3,33,"""the denominator is estimated from 2 observations"""
R1-535,run_v35k_null_t_df,1,df (t-statistic equivalent),deterministic,asserts-own,F3,33,"""A Z-statistic from n=2 is a t-statistic with 1 degree of freedom, which has no finite moments"""
R1-536,run_v35k_null_kmax,5,K (both null runs produce 1 itemset),deterministic,asserts-own,F3,35,"""At K=5, both null runs produced exactly 1 itemset."""
R1-537,null_v35k2perm_k5_mean,1,null itemsets at K=5 (each run),deterministic,asserts-own,F3,35,"""At K=5, both null runs produced exactly 1 itemset."""
